No;Satellites;Width;Dark;GoodSpine
2;0;22.5;yes;no
4;0;24.8;yes;no
5;4;26;yes;no
6;0;23.8;no;no
6.1;0;23.8;no;no
8;0;24.7;yes;yes
9;0;23.7;no;yes
9.1;0;23.7;no;yes
10;0;25.6;yes;no
10.1;0;25.6;yes;no
11;0;24.3;yes;no
11.1;0;24.3;yes;no
13;11;28.2;no;no
15;14;26;no;yes
15.1;14;26;no;yes
15.2;14;26;no;yes
15.3;14;26;no;yes
15.4;14;26;no;yes
17;1;25.2;no;no
18;1;29;no;no
19;0;24.7;yes;no
19.1;0;24.7;yes;no
19.2;0;24.7;yes;no
20;5;27.4;no;no
20.1;5;27.4;no;no
21;4;23.2;no;yes
21.1;4;23.2;no;yes
22;3;25;no;yes
23;1;22.5;no;yes
25;3;25.8;yes;no
25.1;3;25.8;yes;no
26;0;26.2;yes;no
27;3;28.7;no;no
27.1;3;28.7;no;no
28;5;26.8;no;yes
29;0;27.5;yes;no
29.1;0;27.5;yes;no
31;4;29.3;no;yes
33;0;25.7;no;yes
33.1;0;25.7;no;yes
36;0;23.7;yes;no
39;0;23.4;yes;no
40;6;27.9;no;no
40.1;6;27.9;no;no
41;3;27.5;yes;no
42;5;26.1;no;yes
43;6;27.7;no;yes
44;5;30;no;yes
45;9;28.5;yes;yes
45.1;9;28.5;yes;yes
49;3;28.5;no;no
50;3;30.3;no;yes
51;5;24.7;yes;no
53;6;27.4;no;yes
55;5;25.7;no;yes
55.1;5;25.7;no;yes
56;15;28.3;no;no
56.1;15;28.3;no;no
56.2;15;28.3;no;no
58;3;26.2;yes;no
59;0;27.8;no;yes
59.1;0;27.8;no;yes
60;0;25.5;yes;no
60.1;0;25.5;yes;no
62;5;24.5;yes;no
63;3;27;yes;yes
64;5;26;no;no
64.1;5;26;no;no
64.2;5;26;no;no
65;1;28;no;no
66;8;30;no;no
66.1;8;30;no;no
67;10;29;no;no
68;0;26.2;no;no
70;3;26.2;no;no
70.1;3;26.2;no;no
71;7;25.6;yes;no
74;6;25.4;no;no
75;0;24.2;yes;no
76;0;22.9;no;yes
76.1;0;22.9;no;yes
77;3;26;yes;yes
79;0;25.7;yes;no
79.1;0;25.7;yes;no
79.2;0;25.7;yes;no
80;5;25.1;no;no
80.1;5;25.1;no;no
81;0;24.5;yes;yes
82;0;27.5;yes;no
83;0;23.1;yes;no
83.1;0;23.1;yes;no
84;4;25.9;yes;yes
87;0;28.5;no;no
88;0;25.5;yes;yes
88.1;0;25.5;yes;yes
91;5;29.7;no;yes
92;0;26.8;no;yes
95;0;23.1;yes;no
97;0;25.5;yes;no
97.1;0;25.5;yes;no
97.2;0;25.5;yes;no
98;1;26.5;yes;no
98.1;1;26.5;yes;no
99;1;24.5;yes;no
100;1;28.5;yes;no
100.1;1;28.5;yes;no
101;1;28.2;no;no
101.1;1;28.2;no;no
103;1;27.5;no;no
103.1;1;27.5;no;no
103.2;1;27.5;no;no
106;1;27.3;yes;no
107;1;26.3;no;no
107.1;1;26.3;no;no
111;3;27.8;no;no
112;6;27;no;no
112.1;6;27;no;no
113;0;25.7;yes;no
113.1;0;25.7;yes;no
116;0;23.7;yes;no
116.1;0;23.7;yes;no
117;12;29.3;yes;no
117.1;12;29.3;yes;no
120;6;27;yes;no
122;2;30.2;no;yes
122.1;2;30.2;no;yes
122.2;2;30.2;no;yes
124;2;24.2;no;no
125;3;27.4;no;no
126;0;25.4;no;yes
127;3;28.4;yes;no
128;4;22.5;yes;no
128.1;4;22.5;yes;no
129;2;26.2;no;no
130;6;24.9;no;yes
131;6;24.5;no;yes
133;4;28;no;yes
134;10;25.8;yes;no
134.1;10;25.8;yes;no
135;7;27.9;no;no
141;7;33.5;no;yes
144;0;24.3;no;yes
146;8;25;yes;no
147;4;31.7;no;yes
147.1;4;31.7;no;yes
153;0;23.1;no;yes
153.1;0;23.1;no;yes
154;0;22.9;no;yes
154.1;0;22.9;no;yes
155;0;24.5;yes;no
155.1;0;24.5;yes;no
155.2;0;24.5;yes;no
156;4;24.7;no;no
157;0;28.3;no;no
157.1;0;28.3;no;no
161;4;26.5;no;no
163;8;28.2;no;no
163.1;8;28.2;no;no
164;0;25.7;yes;no
164.1;0;25.7;yes;no
164.2;0;25.7;yes;no
165;7;26.5;no;no
167;0;24.1;yes;no
168;2;26.2;yes;no
168.1;2;26.2;yes;no
169;3;26.1;yes;no
170;4;29;yes;no
170.1;4;29;yes;no
170.2;4;29;yes;no
171;0;28;no;yes
171.1;0;28;no;yes
173;0;24.5;no;yes
173.1;0;24.5;no;yes
